,index,star_end_address,Monday_avg,Tuesday_avg,Wednesday_avg,Thursday_avg,Friday_avg,Saturday_avg,Sunday_avg,Monday_q1,Tuesday_q1,Wednesday_q1,Thursday_q1,Friday_q1,Saturday_q1,Sunday_q1,Monday_q3,Tuesday_q3,Wednesday_q3,Thursday_q3,Friday_q3,Saturday_q3,Sunday_q3
0,0, Metro Medical   Cosmic Fusion  ,15.92063125,16.49238351,16.18134521,16.62940865,16.29959509,16.44470046,14.77941101,11.96666667,12.4,12.4,12.7,12.45833333,13.03333333,11.28333333,20.53333333,21.23333333,20.45,21.31666667,20.87083334,20.94583333,18.75
1,1, Milan Bridge   Santacruz Milan Subway  ,4.359041731,4.556979728,4.509956038,4.755684548,4.880126183,4.844778034,3.713178295,2.633333333,2.75,2.683333333,2.7,2.65,2.733333333,2.566666667,5.495833333,5.716666667,5.65,5.966666667,6.266666667,6.125,4.533333333
2,2, Phoenix Market City Mall   Kurla Bus Depot Junction  ,7.706153846,8.671391686,8.272813147,8.685287903,8.483778476,8.033627978,7.409788769,5.445833333,5.633333333,5.783333333,5.6375,5.766666667,5.416666667,5.183333333,9.1375,9.566666667,9.820833334,9.9,10.03333333,9.633333333,8.995833333
3,3, Rani Sati Marg   Malad Subway  ,8.45474359,8.428332054,8.340899716,8.532284197,8.652638454,8.743397436,7.743852881,6.2625,6.325,6.333333333,6.383333333,6.366666667,6.35,6.25,10.11666667,9.983333333,9.933333333,10.125,10.41666667,10.63333333,8.870833334
4,4,A K Vaidya Marg   Oberoi Mall Junction  ,8.768468468,8.93253785,9.074765625,8.970195754,9.025816993,8.94436638,8.725643004,6.425,6.4,6.483333333,6.483333333,6.45,6.533333333,6.766666667,11.2,11.375,11.7,11.58333333,11.72083334,11.53333333,10.85
5,5,Aarey Check Naka   Goregaon East Station Road  ,9.050153965,9.159721156,8.987748515,9.10960925,9.470856173,8.971351767,7.847876448,6.791666666,6.7,6.55,6.666666667,6.85,6.75,6.591666667,10.66666667,11.11666667,10.71666667,11,11.33333333,10.62916667,8.866666667
6,6,Aarey Road   Goregoan Check Naka  ,10.93403846,11.92460317,11.75823013,12.16744771,11.90383412,11.5580641,10.09740226,8.291666667,8.0375,8.179166667,8.725,8.133333333,7.816666667,7.566666667,12.62916667,13.22916667,13.26666667,14.01666667,13.86666667,12.53333333,11.96666667
7,7,Adarsh Nagar   Infiniti Mall  ,57.28487298,59.38728205,58.72348309,59.92882055,59.694804,55.20432384,49.55124743,43.53333333,42.97083333,43.31666667,43.38333333,43.74166667,43.59166667,43.71666667,68.475,71.04583333,70.825,73.125,72.45833333,64.98333333,54.5
8,8,Amarmahal Junction flyover   Chembur flyover  ,6.52619969,7.139149372,6.460307018,6.731734612,6.813867085,6.265048793,5.095271318,3.95,3.983333333,4.033333333,3.983333333,4,3.966666667,3.933333333,7.35,7.883333333,7.4375,7.991666667,8.033333333,7.5,5.816666667
9,9,Andheri Flyover   Jogeshwari End  ,15.77414103,16.47182051,16.73723958,17.19581989,16.88304598,15.41484895,13.3598713,8.3,8.745833333,8.883333333,9.5125,10.26666667,8.725,7.608333334,21.45,21.89166667,21.77916667,22.83333333,22.19166667,20.4625,18.08333333
